             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          5.00000000                 nan         10.00000000                 nan          0.00038444          0.00000600
          6.00000000                 nan         10.00000000                 nan          0.00038444          0.00005800
          0.00000000                 nan         50.00000000                 nan          0.00001661          4.06514400
          1.00000000                 nan         50.00000000       2298.00000000          0.00001661          0.00491200
          2.00000000          1.00000000         50.00000000       2298.00000000          0.00001661          0.00493700
          2.00000000          2.00000000         50.00000000       2298.00000000          0.00001661          0.02115400
          2.00000000          4.00000000         50.00000000       2298.00000000          0.00001661          0.03429700
          2.00000000          6.00000000         50.00000000       2298.00000000          0.00001661          0.05163200
          2.00000000          8.00000000         50.00000000       2298.00000000          0.00001661          0.07170200
          3.00000000          1.00000000         50.00000000       2298.00000000          0.00001661          0.00494600
          3.00000000          2.00000000         50.00000000       2298.00000000          0.00001661          0.00684700
          3.00000000          4.00000000         50.00000000       2298.00000000          0.00001661          0.00865300
          3.00000000          6.00000000         50.00000000       2298.00000000          0.00001661          0.01809300
          3.00000000          8.00000000         50.00000000       2298.00000000          0.00001661          0.02446000
          4.00000000          1.00000000         50.00000000       2298.00000000          0.00001661          0.00601900
          4.00000000          2.00000000         50.00000000       2298.00000000          0.00001661          0.00590400
          4.00000000          4.00000000         50.00000000       2298.00000000          0.00001661          0.00608900
          4.00000000          6.00000000         50.00000000       2298.00000000          0.00001661          0.01471100
          4.00000000          8.00000000         50.00000000       2298.00000000          0.00001661          0.01929200
          5.00000000                 nan         50.00000000                 nan          0.00001661          0.00178200
          6.00000000                 nan         50.00000000                 nan          0.00001661          0.00109900
          0.00000000                 nan        100.00000000                 nan          0.00000417        289.82463900
          1.00000000                 nan        100.00000000       8506.00000000          0.00000417          0.07153300
          2.00000000          1.00000000        100.00000000       8506.00000000          0.00000417          0.07129200
          2.00000000          2.00000000        100.00000000       8506.00000000          0.00000417          0.13616600
          2.00000000          4.00000000        100.00000000       8506.00000000          0.00000417          0.16506100
          2.00000000          6.00000000        100.00000000       8506.00000000          0.00000417          0.24327900
          2.00000000          8.00000000        100.00000000       8506.00000000          0.00000417          0.28512700
          3.00000000          1.00000000        100.00000000       8506.00000000          0.00000417          0.07748600
          3.00000000          2.00000000        100.00000000       8506.00000000          0.00000417          0.05910000
          3.00000000          4.00000000        100.00000000       8506.00000000          0.00000417          0.04552000
          3.00000000          6.00000000        100.00000000       8506.00000000          0.00000417          0.08859700
          3.00000000          8.00000000        100.00000000       8506.00000000          0.00000417          0.09793600
          4.00000000          1.00000000        100.00000000       8506.00000000          0.00000417          0.09143400
          4.00000000          2.00000000        100.00000000       8506.00000000          0.00000417          0.05780100
          4.00000000          4.00000000        100.00000000       8506.00000000          0.00000417          0.04500200
          4.00000000          6.00000000        100.00000000       8506.00000000          0.00000417          0.08060600
          4.00000000          8.00000000        100.00000000       8506.00000000          0.00000417          0.09302800
          5.00000000                 nan        100.00000000                 nan          0.00000417          0.05743700
          6.00000000                 nan        100.00000000                 nan          0.00000417          0.00635500
          1.00000000                 nan        300.00000000      66569.00000000          0.00000046          5.04281400
          2.00000000          1.00000000        300.00000000      66569.00000000          0.00000046          4.92251000
          2.00000000          2.00000000        300.00000000      66569.00000000          0.00000046          3.42818800
          2.00000000          4.00000000        300.00000000      66569.00000000          0.00000046          2.88519700
          2.00000000          6.00000000        300.00000000      66569.00000000          0.00000046          4.06385400
          2.00000000          8.00000000        300.00000000      66569.00000000          0.00000046          3.50895400
          3.00000000          1.00000000        300.00000000      66569.00000000          0.00000046          5.26611500
          3.00000000          2.00000000        300.00000000      66569.00000000          0.00000046          2.94496700
          3.00000000          4.00000000        300.00000000      66569.00000000          0.00000046          1.86979600
          3.00000000          6.00000000        300.00000000      66569.00000000          0.00000046          2.46176900
